i,scale,n_nodes,dofs,mesh_s,grid_s,solve_s,peak_rss_kb,kb_per_node,ok,status
1,3.6,38813,None,60.2,0.2,24.0,2289500,58.99,True,OK
2,2.9,48318,None,58.2,0.3,35.4,3092232,64.0,True,OK
3,2.3,64070,None,59.5,0.4,43.9,4272876,66.69,True,OK
4,1.85,94986,None,64.0,0.6,67.2,6850652,72.12,True,OK
5,1.5,124572,None,66.9,0.9,90.9,9657544,77.53,True,OK
6,1.3,162952,None,73.8,1.1,145.4,12964192,79.56,True,OK
7,1.1,209179,None,84.9,1.5,195.0,18780912,89.78,True,OK
8,0.95,277271,None,96.9,2.0,259.4,26375140,95.12,True,OK
